
2025/04/10 (05:10:02) | ===> btop++ v.1.4.0
2025/04/10 (05:10:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (04:03:05) | ===> btop++ v.1.4.0
2025/04/11 (04:03:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (04:05:33) | ===> btop++ v.1.4.0
2025/04/11 (04:05:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (04:06:15) | ===> btop++ v.1.4.0
2025/04/11 (04:06:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (05:28:47) | ===> btop++ v.1.4.0
2025/04/11 (05:28:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (05:29:38) | ===> btop++ v.1.4.0
2025/04/11 (05:29:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (05:29:57) | ===> btop++ v.1.4.0
2025/04/11 (05:29:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (20:02:13) | ===> btop++ v.1.4.0
2025/04/11 (20:02:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (20:04:08) | ===> btop++ v.1.4.0
2025/04/11 (20:04:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (20:04:36) | ===> btop++ v.1.4.0
2025/04/11 (20:04:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (22:02:55) | ===> btop++ v.1.4.0
2025/04/11 (22:02:55) | WARNING: Intel GPU: Failed to initialize PMU
